cluster	gene	avg_logFC	p_val	p_val_adj	prop_in_cluster	prop_out_cluster
6	ENSG00000052795.11	0.312184014387719	4.14194559160941e-22	7.76863315162261e-18	0.402	0.089
6	ENSG00000188677.13	0.279697637218141	4.69293668725715e-22	8.80207205061951e-18	0.54	0.145
6	ENSG00000189159.14	0.500808733287833	4.86906162560923e-22	9.13241198499268e-18	0.862	0.433
6	ENSG00000118640.9	0.549284413440631	6.37613609450586e-22	1.19590808588552e-17	0.977	0.76
6	ENSG00000105887.10	0.589433261513368	6.52953903105582e-22	1.22468034066483e-17	0.931	0.555
6	ENSG00000116489.11	0.552020043154943	6.69907881157199e-22	1.25647922189844e-17	0.931	0.549
6	ENSG00000181481.12	0.323880408257159	7.08446238163486e-22	1.32876176429943e-17	0.54	0.151
6	ENSG00000089041.15	0.306125939486458	7.81976764180148e-22	1.46667561889629e-17	0.483	0.123
6	ENSG00000101347.8	0.594422970832244	7.90034914133114e-22	1.48178948494807e-17	0.989	0.645
6	ENSG00000143554.12	0.307597382152722	8.33781300043881e-22	1.5638402063623e-17	0.552	0.153
6	ENSG00000090674.14	0.404929953054173	8.64973191529887e-22	1.62234371803346e-17	0.494	0.138
6	ENSG00000163041.8	0.472556916122525	9.04584488658347e-22	1.6966386669276e-17	1	0.98
6	ENSG00000100077.13	0.424033858065264	9.60821325453078e-22	1.80211647801979e-17	0.575	0.175
6	ENSG00000140612.12	0.501584100398495	1.17091670602468e-21	2.19617137381988e-17	0.989	0.652
6	ENSG00000182117.5	0.543534658344249	1.24064489979199e-21	2.32695357404986e-17	0.931	0.61
6	ENSG00000115310.16	0.51871050816368	1.26412887558e-21	2.37100011903785e-17	0.966	0.666
6	ENSG00000108774.13	0.444241427161767	1.46895670189581e-21	2.75517519007578e-17	0.966	0.562
6	ENSG00000078237.5	0.250508839400645	1.6019300364072e-21	3.00457997628535e-17	0.368	0.076
6	ENSG00000213699.7	0.34212471607661	1.64450284500188e-21	3.08442953608552e-17	0.471	0.125
6	ENSG00000096968.11	0.316739362978409	1.77142299250485e-21	3.3224809647421e-17	0.517	0.139
6	ENSG00000135956.7	0.325217920661067	1.95704308364044e-21	3.67063000767601e-17	0.586	0.176
6	ENSG00000234745.8	0.306625363536249	1.96246244795054e-21	3.68079456737604e-17	1	1
6	ENSG00000106348.15	0.433598005801824	2.46911489421972e-21	4.63107189559851e-17	0.69	0.254
6	ENSG00000182484.13	0.275422997535072	2.77798194212413e-21	5.21038293064802e-17	0.391	0.087
6	ENSG00000148834.11	0.546773232753997	2.84113510976747e-21	5.32883301187986e-17	0.874	0.513
6	ENSG00000005022.5	0.559869696725756	2.94312752053442e-21	5.52012997751436e-17	1	0.795
6	ENSG00000130489.11	0.496808012686679	3.07139525900124e-21	5.76070894778272e-17	0.701	0.266
6	ENSG00000204136.9	0.313017765524379	3.5208010884187e-21	6.60361452143812e-17	0.425	0.099
6	ENSG00000213719.7	0.552422295775009	4.46223165492128e-21	8.36936169197035e-17	1	0.723
6	ENSG00000135940.5	0.466205843384873	5.44575859670794e-21	1.02140648239854e-16	0.989	0.822
6	ENSG00000122862.4	0.641551985483922	5.5103855334936e-21	1.03352791066206e-16	1	0.762
6	ENSG00000169100.11	0.403516408038113	6.20631029678417e-21	1.16405555926484e-16	1	0.991
6	ENSG00000108518.7	0.383228652949216	6.76858664101054e-21	1.26951611038794e-16	1	0.997
6	ENSG00000159842.13	0.324240244194076	6.85305161809327e-21	1.28535836148957e-16	0.598	0.188
6	ENSG00000187164.16	0.348375353264994	7.22796816039101e-21	1.35567770816294e-16	0.563	0.162
6	ENSG00000145287.9	0.806328166777484	7.69959896059573e-21	1.44413678104933e-16	0.92	0.681
6	ENSG00000130592.12	0.497562350864287	7.76676515513738e-21	1.45673447249757e-16	1	0.861
